simulation_time,risk_level,vehicle_1,vehicle_2,action,priority_vehicle_id,yielding_vehicle_id,reservation_queue,conflict_group_vehicle_ids,predicted_arrival_time_s,conflict_zone_vehicle_ids,target_speed_mps,release_reason,note
56.20,HIGH,targeted_vehicle_006,targeted_vehicle_007,RELEASE_NEXT_VEHICLE,targeted_vehicle_006,targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_008,56.00,targeted_vehicle_006,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
56.80,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_006,targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_008,92.30,targeted_vehicle_006,0.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: wait_near_junction_entry entry_distance_m=11.2 hold_distance_m=12.5 speed_mps=0.63.
57.80,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_006,targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_008,283.13,targeted_vehicle_006,0.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: wait_near_junction_entry entry_distance_m=11.2 hold_distance_m=12.5 speed_mps=0.00.
58.10,HIGH,targeted_vehicle_006,targeted_vehicle_007,RELEASE_NEXT_VEHICLE,targeted_vehicle_006,targeted_vehicle_006,targeted_vehicle_006,targeted_vehicle_008,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
58.10,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_008,targeted_vehicle_008,targeted_vehicle_008,targeted_vehicle_008,283.43,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
58.40,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_008,targeted_vehicle_009,targeted_vehicle_009;targeted_vehicle_008,targeted_vehicle_008;targeted_vehicle_009,66.90,,,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: normal_approach_until_near_entry entry_distance_m=111.7.
59.40,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_008,targeted_vehicle_009,targeted_vehicle_008;targeted_vehicle_009,targeted_vehicle_008;targeted_vehicle_009,66.90,targeted_vehicle_008,,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: normal_approach_until_near_entry entry_distance_m=97.8.
60.40,,,,SLOW_NEAR_ENTRY,targeted_vehicle_008,targeted_vehicle_009,targeted_vehicle_008;targeted_vehicle_009,targeted_vehicle_008;targeted_vehicle_009,66.91,targeted_vehicle_008,2.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=83.9 remaining_to_hold_m=71.4 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=5.00 duration_s=2.38.
61.40,,,,SLOW_NEAR_ENTRY,targeted_vehicle_008,targeted_vehicle_009,targeted_vehicle_008;targeted_vehicle_009,targeted_vehicle_008;targeted_vehicle_009,70.07,targeted_vehicle_008,2.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=72.7 remaining_to_hold_m=60.2 speed_mps=9.13 target_speed_mps=2.00 decel_mps2=5.00 duration_s=1.43.
69.00,HIGH,targeted_vehicle_010,targeted_vehicle_011,RELEASE_NEXT_VEHICLE,targeted_vehicle_010,targeted_vehicle_010,targeted_vehicle_010;targeted_vehicle_011,targeted_vehicle_010;targeted_vehicle_011,72.00,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
69.00,HIGH,targeted_vehicle_010,targeted_vehicle_011,SLOW_NEAR_ENTRY,targeted_vehicle_010,targeted_vehicle_011,targeted_vehicle_010;targeted_vehicle_011,targeted_vehicle_010;targeted_vehicle_011,72.00,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=26.7 remaining_to_hold_m=14.2 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=6.66 duration_s=1.79.
70.00,HIGH,targeted_vehicle_010,targeted_vehicle_011,SLOW_NEAR_ENTRY,targeted_vehicle_010,targeted_vehicle_011,targeted_vehicle_010;targeted_vehicle_011,targeted_vehicle_010;targeted_vehicle_011,72.00,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=16.3 remaining_to_hold_m=3.8 speed_mps=7.59 target_speed_mps=2.00 decel_mps2=7.10 duration_s=0.79.
